stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
BU0069,0069,Buoncammino (ang. via Belvedere),,39.224992433836164,9.114492207114947,,https://www.ctmcagliari.it/fermate/fermata-BU0069,,,,2
BV0672,0672,Bonorva (ang. via Calasetta),,39.254811997621364,9.174435406666207,,https://www.ctmcagliari.it/fermate/fermata-BV0672,,,,2
CO1141,1141,Ciociaria (fronte via Nebida),,39.238288061924664,9.105026894482607,,https://www.ctmcagliari.it/fermate/fermata-CO1141,,,,1
DA0272,0272,Dante (Tribunale Minori),,39.215369423428064,9.124909584816897,,https://www.ctmcagliari.it/fermate/fermata-DA0272,,,,2
EL0680,0680,Lussu (ang. via Romagnino),,39.259322385264064,9.161663917241587,,https://www.ctmcagliari.it/fermate/fermata-EL0680,,,,2
GO2077,2077,Goceano (fronte supermertato),,39.259947865682264,9.112716351508397,,https://www.ctmcagliari.it/fermate/fermata-GO2077,,,,1
GS1126,1126,Agavi (fronte via dei Castagni),,39.255613094644664,9.122030826119757,,https://www.ctmcagliari.it/fermate/fermata-GS1126,,,,1
LP0330,0330,Poetto (altezza civico 38),,39.198548340596564,9.147638929897657,,https://www.ctmcagliari.it/fermate/fermata-LP0330,,,,1
LR2049,2049,Liri (località Santa Luria),,39.211342136557664,9.304243553069237,,https://www.ctmcagliari.it/fermate/fermata-LR2049,,,,2
ME0167,0167,Merello (fronte via Vittorio  Veneto),,39.225744753649564,9.110441694037027,,https://www.ctmcagliari.it/fermate/fermata-ME0167,,,,2
PO0159,0159,Pola (ang. via Mameli),,39.220486470482164,9.105434782704917,,https://www.ctmcagliari.it/fermate/fermata-PO0159,,,,2
PS0834,0834,del Pino Solitario (fronte via Garofani),,39.271901069698764,9.052533087008427,,https://www.ctmcagliari.it/fermate/fermata-PS0834,,,,1
PV0430,0430,S.P. Villasimius (ang. via dei Papaveri),,39.212214223086464,9.305000954539017,,https://www.ctmcagliari.it/fermate/fermata-PV0430,,,,2
CT0228,0228,Castiglione (ang. via Sarpi),,39.229037103014364,9.128657957502207,,https://www.ctmcagliari.it/fermate/fermata-CT0228,,,,1
DC2141,2141,Dolcetta (fronte civico 4),,39.240899208734364,9.093065708388907,,https://www.ctmcagliari.it/fermate/fermata-DC2141,,,,0
DV0419,0419,L. da Vinci (fronte via Rio Solanas),,39.219613645900864,9.279293473156277,,https://www.ctmcagliari.it/fermate/fermata-DV0419,,,,2
EC0717,0717,S'Ecca S'Arrideli (terza fermata),,39.241714426706564,9.261231297118147,,https://www.ctmcagliari.it/fermate/fermata-EC0717,,,,2
EL0578,0578,Elmas (centro commerciale),,39.257798950831064,9.072695048893647,,https://www.ctmcagliari.it/fermate/fermata-EL0578,,,,2
ET1124,1124,Toti (fronte scuole),,39.251463429367464,9.122144605817507,,https://www.ctmcagliari.it/fermate/fermata-ET1124,,,,1
FL0413,0413,Flumini,,39.221403463632164,9.286249578539337,,https://www.ctmcagliari.it/fermate/fermata-FL0413,,,,1
GN0118,0118,Angioni (giardini),,39.241998851114964,9.194091526074127,,https://www.ctmcagliari.it/fermate/fermata-GN0118,,,,1
GQ0387,0387,Golfo di Quartu S.E. (Lido Mediterraneo),,39.225438488643964,9.200987005197187,,https://www.ctmcagliari.it/fermate/fermata-GQ0387,,,,0
IM0087,0087,Is Mirrionis (Chiesa),,39.235042664625864,9.109872576317957,,https://www.ctmcagliari.it/fermate/fermata-IM0087,,,,0
JE0559,0559,Jenner (Oncologico),,39.245581836671964,9.115203259052967,,https://www.ctmcagliari.it/fermate/fermata-JE0559,,,,0
JE0870,0870,Jenner (fronte Casa Accoglienza),,39.243639073427964,9.116108321478557,,https://www.ctmcagliari.it/fermate/fermata-JE0870,,,,2
LP0358,0358,Poetto (Ippodromo),,39.209729975928864,9.169040267090347,,https://www.ctmcagliari.it/fermate/fermata-LP0358,,,,0
MA0256,0256,Marconi (fronte Istituto ITS Mo.So.s.),,39.235759691772864,9.140037541711007,,https://www.ctmcagliari.it/fermate/fermata-MA0256,,,,0
MA0915,0915,Marconi (clinica),,39.241860990799064,9.175934772319337,,https://www.ctmcagliari.it/fermate/fermata-MA0915,,,,1
MG0490,0490,I Maggio (fronte liceo),,39.247277492599964,9.159667577974757,,https://www.ctmcagliari.it/fermate/fermata-MG0490,,,,1
MG0491,0491,I Maggio (Liceo),,39.247367151656964,9.159995900903837,,https://www.ctmcagliari.it/fermate/fermata-MG0491,,,,1
MO2027,2027,Monaco (ang. via Dalla Chiesa),,39.235499710682364,9.208418386388317,,https://www.ctmcagliari.it/fermate/fermata-MO2027,,,,1
MS0769,0769,Is Maglias (fronte Azuni),,39.231476119920764,9.104621711496327,,https://www.ctmcagliari.it/fermate/fermata-MS0769,,,,1
PA2084,2084,Parigi (fronte civico 29),,39.236273338150164,9.136966684031767,,https://www.ctmcagliari.it/fermate/fermata-PA2084,,,,2
PF0134,0134,Piero della Francesca (ang. via Peretti),,39.250729424049164,9.103108546366277,,https://www.ctmcagliari.it/fermate/fermata-PF0134,,,,1
PI2080,2080,Luigi Pirandello (fronte civico 3),,39.250949120921864,9.118559814336897,,https://www.ctmcagliari.it/fermate/fermata-PI2080,,,,2
PM1168,1168,Matteotti (fronte Stazione FS),,39.215447451641664,9.109129671122417,,https://www.ctmcagliari.it/fermate/fermata-PM1168,,,,2
ST2073,2073,Stamira Fronte Ufficio Postale,,39.248858659592764,9.119572301106367,,https://www.ctmcagliari.it/fermate/fermata-ST2073,,,,2
SU1024,1024,Sulis (altezza civico 71),,39.216797883283864,9.118042418918697,,https://www.ctmcagliari.it/fermate/fermata-SU1024,,,,2
VD0856,0856,Vidal (ang. via Besta),,39.212830873229664,9.132615208005547,,https://www.ctmcagliari.it/fermate/fermata-VD0856,,,,1
VR0513,0513,Verdi (fronte via Pascoli),,39.235240853839664,9.179915025627927,,https://www.ctmcagliari.it/fermate/fermata-VR0513,,,,2
AB0110,0110,Abruzzi (fronte via Campeda),,39.240580816447564,9.100533490921497,,https://www.ctmcagliari.it/fermate/fermata-AB0110,,,,0
BS0215,0215,San Bartolomeo (Parcheggi),,39.200641114554464,9.142238813919007,,https://www.ctmcagliari.it/fermate/fermata-BS0215,,,,0
CB0654,0654,Cabras (campi sportivi),,39.251036555875564,9.144736001449617,,https://www.ctmcagliari.it/fermate/fermata-CB0654,,,,1
CI1254,1254,Cimitero,,39.245258077380064,9.193031455643267,,https://www.ctmcagliari.it/fermate/fermata-CI1254,,,,1
CM0603,0603,Carmine (ang. via Manno),,39.284530534398864,9.009681806885387,,https://www.ctmcagliari.it/fermate/fermata-CM0603,,,,1
CQ1148,1148,Cinquini (fronte via da Paganello),,39.241286083709664,9.107908819845167,,https://www.ctmcagliari.it/fermate/fermata-CQ1148,,,,1
CR0113,0113,Cornalias (ang. via Cinquini),,39.240227362333764,9.107834773632817,,https://www.ctmcagliari.it/fermate/fermata-CR0113,,,,1
DP0294,0294,della Pineta (ang. via Firenze),,39.206705249012564,9.134908210341017,,https://www.ctmcagliari.it/fermate/fermata-DP0294,,,,1
GN0564,0564,Giorgino (ex fabbrica),,39.211277457087964,9.088939015199887,,https://www.ctmcagliari.it/fermate/fermata-GN0564,,,,1
NO0701,0701,4 Novembre (ang. via Amsicora),,39.239462266478464,9.191366500579027,,https://www.ctmcagliari.it/fermate/fermata-NO0701,,,,1
NZ0962,0962,Nazionale (ang. via Ballero),,39.251221013865464,9.174514520522617,,https://www.ctmcagliari.it/fermate/fermata-NZ0962,,,,2
PG0699,0699,Portogallo (ang. via S. Antonio),,39.242369220035664,9.201508983103097,,https://www.ctmcagliari.it/fermate/fermata-PG0699,,,,1
PU0122,0122,Puglia (parcheggi),,39.242952836575764,9.098031269173737,,https://www.ctmcagliari.it/fermate/fermata-PU0122,,,,1
